------------------------------|----------|----------|----------|----------|----------------|
File                          |  % Stmts | % Branch |  % Funcs |  % Lines |Uncovered Lines |
------------------------------|----------|----------|----------|----------|----------------|
 bondingcurve/                |      100 |      100 |      100 |      100 |                |
  BondingCurve.sol            |      100 |      100 |      100 |      100 |                |
  EthBondingCurve.sol         |      100 |      100 |      100 |      100 |                |
  IBondingCurve.sol           |      100 |      100 |      100 |      100 |                |
 core/                        |      100 |      100 |      100 |      100 |                |
  Core.sol                    |      100 |      100 |      100 |      100 |                |
  ICore.sol                   |      100 |      100 |      100 |      100 |                |
  IPermissions.sol            |      100 |      100 |      100 |      100 |                |
  Permissions.sol             |      100 |      100 |      100 |      100 |                |
 dao/                         |      100 |      100 |      100 |      100 |                |
  ITimelockedDelegator.sol    |      100 |      100 |      100 |      100 |                |
  TimelockedDelegator.sol     |      100 |      100 |      100 |      100 |                |
 genesis/                     |      100 |    96.88 |      100 |      100 |                |
  GenesisGroup.sol            |      100 |    96.88 |      100 |      100 |                |
  IDO.sol                     |      100 |      100 |      100 |      100 |                |
  IDOInterface.sol            |      100 |      100 |      100 |      100 |                |
  IGenesisGroup.sol           |      100 |      100 |      100 |      100 |                |
 oracle/                      |      100 |      100 |      100 |      100 |                |
  BondingCurveOracle.sol      |      100 |      100 |      100 |      100 |                |
  IBondingCurveOracle.sol     |      100 |      100 |      100 |      100 |                |
  IOracle.sol                 |      100 |      100 |      100 |      100 |                |
  IUniswapOracle.sol          |      100 |      100 |      100 |      100 |                |
  UniswapOracle.sol           |      100 |      100 |      100 |      100 |                |
 pcv/                         |      100 |      100 |      100 |      100 |                |
  EthUniswapPCVController.sol |      100 |      100 |      100 |      100 |                |
  EthUniswapPCVDeposit.sol    |      100 |      100 |      100 |      100 |                |
  IPCVDeposit.sol             |      100 |      100 |      100 |      100 |                |
  IUniswapPCVController.sol   |      100 |      100 |      100 |      100 |                |
  PCVSplitter.sol             |      100 |      100 |      100 |      100 |                |
  UniswapPCVDeposit.sol       |      100 |      100 |      100 |      100 |                |
 refs/                        |      100 |      100 |      100 |      100 |                |
  CoreRef.sol                 |      100 |      100 |      100 |      100 |                |
  ICoreRef.sol                |      100 |      100 |      100 |      100 |                |
  IOracleRef.sol              |      100 |      100 |      100 |      100 |                |
  IUniRef.sol                 |      100 |      100 |      100 |      100 |                |
  OracleRef.sol               |      100 |      100 |      100 |      100 |                |
  UniRef.sol                  |      100 |      100 |      100 |      100 |                |
 router/                      |      100 |      100 |      100 |      100 |                |
  FeiRouter.sol               |      100 |      100 |      100 |      100 |                |
  IFeiRouter.sol              |      100 |      100 |      100 |      100 |                |
 staking/                     |      100 |     87.5 |      100 |      100 |                |
  FeiRewardsDistributor.sol   |      100 |     87.5 |      100 |      100 |                |
  FeiStakingRewards.sol       |      100 |      100 |      100 |      100 |                |
  IRewardsDistributor.sol     |      100 |      100 |      100 |      100 |                |
  IStakingRewards.sol         |      100 |      100 |      100 |      100 |                |
 token/                       |    95.49 |    91.38 |    96.43 |    95.52 |                |
  Fei.sol                     |    82.76 |    66.67 |     87.5 |    83.33 |... 185,186,190 |
  IFei.sol                    |      100 |      100 |      100 |      100 |                |
  IIncentive.sol              |      100 |      100 |      100 |      100 |                |
  IUniswapIncentive.sol       |      100 |      100 |      100 |      100 |                |
  UniswapIncentive.sol        |    99.04 |    97.83 |      100 |    99.04 |            346 |
 utils/                       |      100 |      100 |      100 |      100 |                |
  ILinearTokenTimelock.sol    |      100 |      100 |      100 |      100 |                |
  LinearTokenTimelock.sol     |      100 |      100 |      100 |      100 |                |
  Roots.sol                   |      100 |      100 |      100 |      100 |                |
  Timed.sol                   |      100 |      100 |      100 |      100 |                |
------------------------------|----------|----------|----------|----------|----------------|
All files                     |    99.16 |    96.88 |    99.58 |    99.18 |                |
------------------------------|----------|----------|----------|----------|----------------|
